ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Evaluating adsorption ability of granite to radioselenium by chemical sequential extraction2007,jwh07,http://dx.doi.org/10.1007/s10967-007-6856-1,2007,Journal of Radioanalytical and Nuclear Chemistry ,273,299-306,"Jan, Y.-L. , Wang, T.-H. , Hsu, C.-N. et al.",Evaluating adsorption ability of granite to radioselenium by chemical sequential extraction
,Retardation of long-lived radionuclides on bentonites1998,jkjk98,not found,1998,Proceedings of the workshop on long-lived radionuclide chemistry in nuclear waste treatment Paris (France) ,NA,99-110,"Jedinakova-Krizova, V. , Jurcek, P. and Kohlickova, M.",Retardation of long-lived radionuclides on bentonites
,Analytical Code Development and Data Set Preparation for Near Field Analysis(Vol. 3)1991,jgcc91,not found,1991,PNC Technical Report,NA,NA,JGC Corporation,Analytical Code Development and Data Set Preparation for Near Field Analysis(Vol. 3)
,Study of nuclide migration of fission products:Pt.1.Sorption of iodine on concrete.1993,jhl93,not found,1993,Journal of Nuclear and Radiochemistry.,15,40-45,"Jiang, L. , Huang, Y. and Liu, Y.",Study of nuclide migration of fission products:Pt.1.Sorption of iodine on concrete.
,Matrix diffusion of some alkali- and alkaline earth-metals in granitic rock.1997,jbss97,http://dx.doi.org/10.1557/PROC-465-871,1997,Materials Research Society Symposium Proceedings,465,871-878,"Johansson, H. , Byegard, J. , Skarnemark, G. and Skalberg, M.",Matrix diffusion of some alkali- and alkaline earth-metals in granitic rock.
,Diffusion Pathways in Crystalline Rocks -Examples from ?sp?-diorite and fine-grained Granite1998,jskst98,not found,1998,Journal of Contaminant Hydrology,35,41-53,"Johansson, H. , Siitari-Kauppi, M. , Skalberg, M. and Tullborg, E.-L.",Diffusion Pathways in Crystalline Rocks -Examples from ?sp?-diorite and fine-grained Granite
,Sorption and diffusion studies in cementitious grouts.1992,jw92,http://dx.doi.org/10.1016/0956-053X(92)90055-N,1992,Waste Management,12,289-297,"Johnston, H. M. and Wilmot, D. J.",Sorption and diffusion studies in cementitious grouts.
,Distribution Coefficients for Strontium and Cesium in Overburden at a Storage Area for Low-Level Radioactive Waste1985,jgc85,http://dx.doi.org/10.1139/t85-002,1985,Canadian Geotechnical Journal ,22,16-Jun,"Johnston, H. M. , Gillham, R. W. and Cherry, J. A.",Distribution Coefficients for Strontium and Cesium in Overburden at a Storage Area for Low-Level Radioactive Waste
,Sorption of Cs Radionuclide on Compacted Egyptian Soil Samples1998,ki98,not found,1998,NA,NA,655-664,"Kamel, N. H. M. and Ibrahim, A. S",Sorption of Cs Radionuclide on Compacted Egyptian Soil Samples
,Field test of radionuclide migration. Cooperative research between JAERI and CIRP1994,kys94,not found,1994,JAERI-Research,NA,NA,"Kamiyama, H. , Yamamoto, T. and Shimooka, K.",Field test of radionuclide migration. Cooperative research between JAERI and CIRP
,A study on the chemical forms and migration behavior of carbon-14 leached from the simulated hull waste in the underground condition2003,ktstst03,http://dx.doi.org/10.1557/PROC-757-II3.8,2003,Materials Research Society Symposium Proceedings,757,621-626,"Kaneko, S. , Tanabe, H. , Sasoh, M. , Takahashi, R. , Shibano, T. and Tateyama, S.",A study on the chemical forms and migration behavior of carbon-14 leached from the simulated hull waste in the underground condition
,Static and Permeability Sorption Tests of Buffer Materials for Geologic Disposal for High-Level Wastes1989,kwhm89,not found,1989,"Waste  Processing, Transportation, Storage and Sisposal, Technical Programs and Public Education",1,647-651,"Kanno, T. , Wakamatsu, H. , Hatta, M. and Miwa, K. ,",Static and Permeability Sorption Tests of Buffer Materials for Geologic Disposal for High-Level Wastes
,Uranium(VI) Sorption to Sediments under High pH and Ionic Strength Conditions1998,kgk98,not found,1998,Radiochimica Acta,80,201-211,"Kaplan, D. I. , Gervais, T. L. and Krupka, K. M.",Uranium(VI) Sorption to Sediments under High pH and Ionic Strength Conditions
,Measurement Technique of Distribution Coefficient for Simulated Concreate Materials (I)1997,kmt97,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,583,"Kashiwagi, M. , Motoyama, M. and Tabei, K.",Measurement Technique of Distribution Coefficient for Simulated Concreate Materials (I)
,Distribution Coefficients of Radionuclides in Concrete Waste for Coastal Soil and Concrete Powder1993,ky93,not found,1993,JAERI-M ,NA,NA,"Kato, S. and Yanase, Y.",Distribution Coefficients of Radionuclides in Concrete Waste for Coastal Soil and Concrete Powder
,Adsorption Properties of Cesium on Vermiculite1993,kuya93,not found,1993,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,656,"Kato, H. , Ueta, S. , Yajima, T. and Akasaka, H.",Adsorption Properties of Cesium on Vermiculite
,Systematic Investigations for Nuclide Sorption Mechanism in Natural Barrier (II) -Rekationship of Sorption Ability between Rock and Its Contituent Minerals-2001,katnyt01,not found,2001,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,905,"Kato, K. , Amano, O. , Tanaka, S. , Noshita, K. , Yoshida, T. and Tsukamoto, M.",Systematic Investigations for Nuclide Sorption Mechanism in Natural Barrier (II) -Rekationship of Sorption Ability between Rock and Its Contituent Minerals-
,Compilation of the Sorption for Cementitious Materials of TRU Waste Disposal System2002,kmmho02,not found,2002,"JNC Technical Review, JNC TN1340 2001-010",NA,171-180,"Kato, H., Mihara, M ., Honda, A. and Ohi, T.",Compilation of the Sorption for Cementitious Materials of TRU Waste Disposal System
,The Sorption Database of Radionuclides for Cementitious Materials2002,kmmoh02,not found,2002,JNC Technical Report,NA,NA,"Kato, H. , Mine, T. , Mihara, M. , Ohi, T. and Honda, A.",The Sorption Database of Radionuclides for Cementitious Materials
,Distribution coefficient of radionuclear in concrete waste on shore soil and concrete powder1993,k93,not found,1993,JAERI-Memo,NA,NA,"Kato, S.",Distribution coefficient of radionuclear in concrete waste on shore soil and concrete powder
,"Sorption of Cs, U, Np, and Pu and Diffusion of water, Cs and Np in basic plutonic rocks and vulcanite1993",khl93,not found,1993,YJT Report,NA,NA,"Kaukonen, V., Hakanen, M. and Lindberg, A.","Sorption of Cs, U, Np, and Pu and Diffusion of water, Cs and Np in basic plutonic rocks and vulcanite"
,"Diffusion and sorption of HTO, Np, Na and Cl in rocks and minerals of Kivetty and Olkiluoto.1997",kkhl97,not found,1997,NA,NA,104,"Kaukonen, V. , Kaukonen, V. , Hakanen, M. and Lindberg, A.","Diffusion and sorption of HTO, Np, Na and Cl in rocks and minerals of Kivetty and Olkiluoto."
,Adsorption property of unsaturated bentonite1990,kk90,not found,1990,Basic data associated with nuclear migration,NA,25-33,"Kawachi, T. and D. Kida",Adsorption property of unsaturated bentonite
,Study of Cation Adsorption Model on Sodium Bentonite1989,kkts89,not found,1989,High-Level Radioactive Waste and Spent Fuel Management,2,313-317,"Kawaguchi, M. , Kaminoyama, M. , Takase, H. and Suzuki, K.",Study of Cation Adsorption Model on Sodium Bentonite
,"Adsorption of Cu2+, Pb2+ and Zn2+ on Ca-saturated illite1988",ki88,not found,1988,Clay Research,7,50-53,"Khan, S. and Iqbal, N.","Adsorption of Cu2+, Pb2+ and Zn2+ on Ca-saturated illite"
,"Thermodynamics of Pb2+ exchange with Na+, Ca2+ and Mg2+ on illite surfaces1985",kk85,not found,1985,Clay Research,4,75-80,"Khan, S. and Khan, N.M.","Thermodynamics of Pb2+ exchange with Na+, Ca2+ and Mg2+ on illite surfaces"
,The migration behaviour of transuranium elements in Gorleben aquifer systems: Colloid Generation and retention process1989,kbrs89,http://dx.doi.org/10.1557/PROC-127-849,1989,Materials Research Society Symposium Proceedings,127,849-854,"Kim, J.I., Buckau, G., Rommel, H. and Sohnius, B.",The migration behaviour of transuranium elements in Gorleben aquifer systems: Colloid Generation and retention process
,A column experiment for the study of colloid radionuclide migration in Gorleben aquifer systems1994,kdzkl94,not found,1994,Radiochimica Acta,66/67,165-171,"Kim, J.I., Delakowitz, B., Zeh, P., Klotz, D. and Lazik, D.",A column experiment for the study of colloid radionuclide migration in Gorleben aquifer systems
,Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media2003,kt03,not found,2003,JNC Technical Report,NA,NA,"Kitamura, A. and Tomura, T.",Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media
,Selective Adsorption Behavior of Cesium Ions onto Granite1997,kymn97,not found,1997,Journal of Nuclear Fuel Cycle and Environment,4,39-45,"Kitamura, A. , Yamamoto, T. , Moriyama, H. and Nishikawa, S.",Selective Adsorption Behavior of Cesium Ions onto Granite
,Sorption Behavior of Am(III) onto Granite1999,kynm99a,http://dx.doi.org/10.1007/BF02349049,1999,Journal of Radioanalytical and Nuclear Chemistry ,239,449-453,"Kitamura, A. , Yamamoto, T. , Nishikawa, S. and Moriyama, H.",Sorption Behavior of Am(III) onto Granite
,Analysis of Adsorption Behavior of Cations onto Quartz Surface by Electrical Double-layer Model1999,kfynm99b,http://dx.doi.org/10.1080/18811248.1999.9726312,1999,Journal of Nuclear Science and Technology,36,1167-1175,"Kitamura, A. , Fujiwara, K. , Yamamoto, T. , Nishikawa, S. and Moriyama, H.",Analysis of Adsorption Behavior of Cations onto Quartz Surface by Electrical Double-layer Model
,Mechanism of Adsorption of Cations onto Rocks1999,kfynm99c,not found,1999,JAERI-Conf,NA,617-626,"Kitamura, A. , Fujiwara, K. , Yamamoto, T. , Nishikawa, S. and Moriyama, H.",Mechanism of Adsorption of Cations onto Rocks
,Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media2001,kts01,not found,2001,JNC Technical Report,NA,NA,"Kitamura, A. , Tomura, T. and Shibutani, T.",Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media
,Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media2002,kts02,not found,2002,JAERI-Conf,NA,659-666,"Kitamura, A. , Tomura, T. and Shibutani, T.",Sorption Behavior of Neptunium onto Smectite under Reducing Conditions in Carbonate Media
,Sorption Behavior of Cesium onto Bentonite and Sedimentary Rocks in Saline Groundwaters2008,ktsn08,not found,2008,JAEA Technical Report,NA,NA,"Kitamura, A. , Tomura, T. , Sato, H. and Nakayama, M.",Sorption Behavior of Cesium onto Bentonite and Sedimentary Rocks in Saline Groundwaters
,NA,kdl,not found,NA,NA,NA,NA,"Klotz, D and Lang, H",
,Eine einfache Methode zur Bestimmung der Verteilungskoeffizienten von Radionukliden im Grundwasser1983,ko83,not found,1983,Gwf-Wasser/Abwasser,NA,139-141,"Klotz, D. and Oliv, F.",Eine einfache Methode zur Bestimmung der Verteilungskoeffizienten von Radionukliden im Grundwasser
,Uptake of rare earth elements from solution by metal oxides1993,kdc93,http://dx.doi.org/10.1021/es00046a006,1993,Environmental Science and Technology,27,1796-1802,"Koeppenkastrop, D. and De Carlo, E.H.",Uptake of rare earth elements from solution by metal oxides
,Metal-Ligand-Surface Interactions During Sorption of Uranyl and Neptunyl on Oxides and Silicates1992,kwl92,not found,1992,NA,1,51-54,"Kohler, M. , Wieland, E. and Leckie, J. O.",Metal-Ligand-Surface Interactions During Sorption of Uranyl and Neptunyl on Oxides and Silicates
,Hydrothermal interaction of cement or mortar with zeolites or monmorillonites1983,kr83,not found,1983,Materials Research Society Symposium Proceedings,15,55-62,"Komarneni, S. and Roy, D. M.",Hydrothermal interaction of cement or mortar with zeolites or monmorillonites
,"Sorption Behavior of Cesium, Strontium and Americium Ions on Clay Materials1988",kyyo88,http://dx.doi.org/10.1080/18811248.1988.9735950,1988,Journal of Nuclear Science and Technology,25,929-933,"Konishi, M. , Yamamoto, K. , Yanagi, T. and Okajima, Y.","Sorption Behavior of Cesium, Strontium and Americium Ions on Clay Materials"
,Interaction of Cement Materials and Np(V) and Pu(IV)1997,kssm97,not found,1997,Genshiryoku-Backend-Kenkyu,4,47-55,"Konishi, M. , Sakamoto, Y. , Senoo, M. and Moriyama, N.",Interaction of Cement Materials and Np(V) and Pu(IV)
,Sorption of uranium (VI) on homoionic sodium smectite experimental study and surface complexation modeling2009,kb09,http://dx.doi.org/10.1016/j.jhazmat.2009.04.014,2009,Journal of Hazardous Materials,169,780-793,"Korichi, S. and Bensmaili, A.",Sorption of uranium (VI) on homoionic sodium smectite experimental study and surface complexation modeling
,"Sorption of Iodine, Neptunium, Technetium, Thorium and Uranium on Rocks and Minerals1985",kapjl85,not found,1985,YJT Report,NA,NA,"Koskinen, A., Alaluusa, M., Pinnioja, S., Jaakola, T. and Lindberg, A.","Sorption of Iodine, Neptunium, Technetium, Thorium and Uranium on Rocks and Minerals"
,Structural Identification of Europium(III) Adsorption Complexes on Montmorillonite2004,kfdsmfe04,http://dx.doi.org/10.1039/b400306c,2004,New Journal of Chemistry,28,864-869,"Kowal-Fouchard, A. , Drot, R. , Simon, E. , Marmier, N. , Fromage, F. and Ehrhardt, J.-J.",Structural Identification of Europium(III) Adsorption Complexes on Montmorillonite
,Specific Sorption of Neptunium by Smectite -Effect of Calcium Ion-1993,kom93,not found,1993,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,654,"Kozai, N. , Ohnuki, T. and Muraoka, S.",Specific Sorption of Neptunium by Smectite -Effect of Calcium Ion-
,Effect of Calcium Ion on Sorption of Neptunium by Smectite1994,kom94a,not found,1994,Nihon-Genshiryoku-Gakkai-shi,36,955-957,"Kozai, N. , Ohnuki, T. and Muraoka, S.",Effect of Calcium Ion on Sorption of Neptunium by Smectite
,Sorption Behavior of Neptunium on Bentonite -Effect of Calcium Ion on the Sorption-1994,kom94b,http://dx.doi.org/10.1557/PROC-353-1021,1994,"Abstracts of 18th International Symposium on the Scientific Basis for Nuclear Waste Management, Kyoto",NA,165-166,"Kozai, N. , Ohnuki, T. and Muraoka, S.",Sorption Behavior of Neptunium on Bentonite -Effect of Calcium Ion on the Sorption-
,Sorption Behavior of Neptunium on Bentonite -Effect of Calcium Ion on the Sorption-1995,kom95,http://dx.doi.org/10.1557/PROC-353-1021,1995,Materials Research Society Symposium Proceedings,353,1021-1028,"Kozai, N. , Ohnuki, T. and Muraoka, S.",Sorption Behavior of Neptunium on Bentonite -Effect of Calcium Ion on the Sorption-
,A Study of Specific Sorption of Neptunium(V) on Smectite in Low pH Solution1996,kombi96,http://dx.doi.org/10.1524/ract.1996.75.3.149,1996,Radiochimica Acta,75,149-158,"Kozai, N. , Ohnuki, T. , Matsumoto, J. , Banba, T. and Ito, Y.",A Study of Specific Sorption of Neptunium(V) on Smectite in Low pH Solution
,The adsorption of heavy metal ions on different clays1993,k93,not found,1993,NA,NA,NA,"Kruse, K.",The adsorption of heavy metal ions on different clays
,Behaviour of plutonium interacting with bentonite and sulfate-reducing anerobic bacteria1997,kzcfaayi97,not found,1997,Materials Research Society Symposium Proceedings,465,879-884,"Kudo, A. , Zheng, J. , Cayer, I. , Fujikawa, Y. , Asano, H. , Arai, K. , Yoshikawa, H. and Ito, M.",Behaviour of plutonium interacting with bentonite and sulfate-reducing anerobic bacteria
,Review of the sorption of radionuclides on the bedrock of Haestholmen and on construction and backfill materials of a final repository for reactor wastes.1992,kh92,not found,1992,NA,NA,86,"Kulmala, S. and Hakanen, M.",Review of the sorption of radionuclides on the bedrock of Haestholmen and on construction and backfill materials of a final repository for reactor wastes.
,"The Solubility of Zr, Nb and Ni in Groundwater and Concrete Water, and Sorption on Crushed Rock and Cement1993",kh93,not found,1993,YJT Report,NA,all page,"Kulmala, S. and Hakanen, M.","The Solubility of Zr, Nb and Ni in Groundwater and Concrete Water, and Sorption on Crushed Rock and Cement"
